location,x_coord,y_coord,z_coord,orientation
PAL0152200701,69700,24200,4500,2
PAL0152200702,69700,25100,4500,2
PAL0152200703,69700,26000,4500,2
PAL0152200901,69700,24200,6000,2
PAL0152200902,69700,25100,6000,2
PAL0152200903,69700,26000,6000,2
PAL0152201101,69700,24200,7500,2
PAL0152201102,69700,25100,7500,2
PAL0152201103,69700,26000,7500,2
PAL0152201301,69700,24200,9000,2
PAL0152201302,69700,25100,9000,2
PAL0152201303,69700,26000,9000,2
PAL0152201501,69700,24200,10500,2
PAL0152201502,69700,25100,10500,2
PAL0152201503,69700,26000,10500,2
PAL0152210501,65000,26900,3000,4
PAL0152210502,65000,27800,3000,4
PAL0152210503,65000,28700,3000,4
PAL0152210701,65000,26900,4500,4
PAL0152210702,65000,27800,4500,4
PAL0152210703,65000,28700,4500,4
PAL0152210901,65000,26900,6000,4
PAL0152210902,65000,27800,6000,4
PAL0152210903,65000,28700,6000,4
PAL0152211101,65000,26900,7500,4
PAL0152211102,65000,27800,7500,4
PAL0152211103,65000,28700,7500,4
PAL0152211301,65000,26900,9000,4
PAL0152211302,65000,27800,9000,4
PAL0152211303,65000,28700,9000,4
PAL0152220101,69700,26900,0,2
PAL0152220102,69700,27800,0,2
PAL0152220103,69700,28700,0,2
PAL0152220301,69700,26900,1500,2
PAL0152220302,69700,27800,1500,2
PAL0152220303,69700,28700,1500,2
PAL0152220501,69700,26900,3000,2
PAL0152220502,69700,27800,3000,2
PAL0152220503,69700,28700,3000,2
PAL0152220701,69700,26900,4500,2
PAL0152220702,69700,27800,4500,2
PAL0152220703,69700,28700,4500,2
PAL0152220901,69700,26900,6000,2
PAL0152220902,69700,27800,6000,2
PAL0152220903,69700,28700,6000,2
PAL0152221101,69700,26900,7500,2
PAL0152221102,69700,27800,7500,2
PAL0152221103,69700,28700,7500,2
PAL0152221301,69700,26900,9000,2
PAL0152221302,69700,27800,9000,2
PAL0152221303,69700,28700,9000,2
PAL0152221501,69700,26900,10500,2
PAL0152221502,69700,27800,10500,2
PAL0152221503,69700,28700,10500,2
PAL0152230501,65000,29600,3000,4
PAL0152230502,65000,30500,3000,4
PAL0152230503,65000,31400,3000,4
PAL0152230701,65000,29600,4500,4
PAL0152230702,65000,30500,4500,4
PAL0152230703,65000,31400,4500,4
PAL0152230901,65000,29600,6000,4
PAL0152230902,65000,30500,6000,4
PAL0152230903,65000,31400,6000,4
PAL0152231101,65000,29600,7500,4
PAL0152231102,65000,30500,7500,4
PAL0152231103,65000,31400,7500,4
PAL0152231301,65000,29600,9000,4
PAL0152231302,65000,30500,9000,4
PAL0152231303,65000,31400,9000,4
PAL0152240101,69700,29600,0,2
PAL0152240102,69700,30500,0,2
PAL0152240103,69700,31400,0,2
PAL0152240301,69700,29600,1500,2
PAL0152240302,69700,30500,1500,2
PAL0152240303,69700,31400,1500,2
