location,task_date,task,task_count,task_quantity
BLK0990090902,"2018-02-06 00:00:00",3,6,0
BLK0990090902,"2018-02-08 00:00:00",3,7,0
BLK0990090902,"2018-02-09 00:00:00",3,6,0
BLK0990090902,"2018-02-13 00:00:00",3,9,0
BLK0990090902,"2018-02-14 00:00:00",3,4,0
BLK0990090902,"2018-02-15 00:00:00",3,3,0
BLK0990090902,"2018-02-16 00:00:00",3,1,0
BLK0990090902,"2018-02-19 00:00:00",3,6,0
BLK0990090902,"2018-02-20 00:00:00",3,2,0
BLK0990090902,"2018-02-21 00:00:00",3,3,0
BLK0990090902,"2018-02-22 00:00:00",3,12,0
BLK0990090902,"2018-02-26 00:00:00",3,1,0
BLK0990090902,"2018-02-27 00:00:00",3,8,0
BLK0990090902,"2018-02-28 00:00:00",3,3,0
BLK0990090902,"2018-03-06 00:00:00",3,3,0
BLK0990090902,"2018-03-08 00:00:00",3,3,0
BLK0990090902,"2018-03-14 00:00:00",3,2,0
BLK0990090902,"2018-03-19 00:00:00",3,4,0
BLK0990090902,"2018-06-07 00:00:00",3,16,0
BLK0990090902,"2018-06-11 00:00:00",3,6,0
BLK0990090902,"2018-06-12 00:00:00",3,31,0
BLK0990090902,"2018-06-13 00:00:00",3,43,0
BLK0990090902,"2018-06-14 00:00:00",3,67,0
BLK0990090902,"2018-06-20 00:00:00",3,48,0
BLK0990090902,"2018-06-21 00:00:00",3,2,0
BLK0990090902,"2018-06-22 00:00:00",3,79,0
BLK0990090902,"2018-06-27 00:00:00",3,39,0
BLK0990090902,"2018-06-29 00:00:00",3,2,0
BLK0990090902,"2018-07-02 00:00:00",3,10,0
BLK0990090902,"2018-07-05 00:00:00",3,3,0
BLK0990090902,"2018-07-10 00:00:00",3,7,0
BLK0990090902,"2018-07-23 00:00:00",3,2,0
BLK0990090902,"2018-07-24 00:00:00",3,3,0
BLK0990090902,"2018-07-25 00:00:00",3,2,0
BLK0990090902,"2018-07-26 00:00:00",3,2,0
BLK0990090902,"2018-07-27 00:00:00",3,4,0
BLK0990090902,"2018-07-30 00:00:00",3,2,0
BLK0990090903,"2018-02-27 00:00:00",3,3,0
BLK0990090903,"2018-03-12 00:00:00",3,1,0
BLK0990090903,"2018-03-27 00:00:00",3,1,0
BLK0990090903,"2018-07-13 00:00:00",3,63,0
BLK0990090903,"2018-07-23 00:00:00",3,33,0
BLK0990090904,"2018-07-13 00:00:00",3,1,0
BLK0990090904,"2018-07-16 00:00:00",3,7,0
BLK0990090904,"2018-07-23 00:00:00",3,2,0
BLK0990090904,"2018-07-24 00:00:00",3,1,0
BLK0990090905,"2018-07-18 00:00:00",3,6,0
BLK0990090905,"2018-07-23 00:00:00",3,2,0
BLK0990090906,"2018-01-16 00:00:00",3,5,0
BLK0990090906,"2018-07-16 00:00:00",3,3,0
BLK0990090906,"2018-07-17 00:00:00",3,2,0
BLK0990090906,"2018-07-18 00:00:00",3,2,0
BLK0990090906,"2018-07-23 00:00:00",3,6,0
BLK0990090907,"2018-01-10 00:00:00",3,6,0
BLK0990090907,"2018-07-11 00:00:00",3,25,0
BLK0990090907,"2018-07-25 00:00:00",3,1,0
BLK0990090909,"2018-07-25 00:00:00",3,1,0
BLK0990090910,"2018-07-27 00:00:00",3,1,0
BLK0990090910,"2018-07-31 00:00:00",3,1,0
BLK0990090911,"2018-01-02 00:00:00",3,8,0
MEZ0212010101,"2018-06-13 00:00:00",3,1,0
MEZ0212010101,"2018-07-10 00:00:00",3,1,0
MEZ0212010101,"2018-07-16 00:00:00",3,1,0
MEZ0212010101,"2018-07-23 00:00:00",3,1,0
MEZ0212010101,"2018-07-26 00:00:00",3,1,0
MEZ0212010101,"2018-07-30 00:00:00",3,1,0
MEZ0212010102,"2018-01-02 00:00:00",3,16,0
MEZ0212010102,"2018-01-03 00:00:00",3,7,0
MEZ0212010102,"2018-01-04 00:00:00",3,1,0
MEZ0212010102,"2018-01-05 00:00:00",3,1,0
MEZ0212010102,"2018-01-08 00:00:00",3,1,0
MEZ0212010102,"2018-01-24 00:00:00",3,2,0
MEZ0212010102,"2018-01-26 00:00:00",3,2,0
MEZ0212010102,"2018-02-13 00:00:00",3,1,0
MEZ0212010103,"2018-01-02 00:00:00",3,1,0
MEZ0212010103,"2018-01-23 00:00:00",3,1,0
MEZ0212010103,"2018-01-24 00:00:00",3,1,0
MEZ0212010103,"2018-01-26 00:00:00",3,1,0
MEZ0212010103,"2018-01-31 00:00:00",3,2,0
MEZ0212010103,"2018-02-15 00:00:00",3,1,0
MEZ0212010103,"2018-04-12 00:00:00",3,1,0
MEZ0212010103,"2018-04-23 00:00:00",3,2,0
MEZ0212010103,"2018-04-24 00:00:00",3,1,0
MEZ0212010103,"2018-05-03 00:00:00",3,1,0
MEZ0212010103,"2018-05-09 00:00:00",3,3,0
MEZ0212010103,"2018-05-10 00:00:00",3,1,0
MEZ0212010103,"2018-05-11 00:00:00",3,1,0
MEZ0212010103,"2018-05-14 00:00:00",3,1,0
MEZ0212010103,"2018-05-15 00:00:00",3,4,0
MEZ0212010103,"2018-05-17 00:00:00",3,1,0
MEZ0212010103,"2018-05-21 00:00:00",3,1,0
MEZ0212010103,"2018-05-22 00:00:00",3,4,0
MEZ0212010103,"2018-05-23 00:00:00",3,1,0
MEZ0212010103,"2018-05-29 00:00:00",3,2,0
MEZ0212010103,"2018-05-30 00:00:00",3,5,0
MEZ0212010103,"2018-06-04 00:00:00",3,1,0
MEZ0212010103,"2018-06-05 00:00:00",3,3,0
MEZ0212010103,"2018-06-11 00:00:00",3,1,0
MEZ0212010103,"2018-06-15 00:00:00",3,1,0
MEZ0212010103,"2018-06-25 00:00:00",3,1,0
MEZ0212010103,"2018-06-26 00:00:00",3,1,0
MEZ0212010103,"2018-06-27 00:00:00",3,3,0
MEZ0212010103,"2018-06-29 00:00:00",3,1,0
MEZ0212010103,"2018-07-03 00:00:00",3,1,0
MEZ0212010103,"2018-07-17 00:00:00",3,2,0
MEZ0212010103,"2018-07-23 00:00:00",3,1,0
MEZ0212010103,"2018-07-24 00:00:00",3,1,0
MEZ0212010103,"2018-07-30 00:00:00",3,1,0
MEZ0212010103,"2018-07-31 00:00:00",3,1,0
MEZ0212010104,"2018-01-18 00:00:00",3,1,0
MEZ0212010104,"2018-01-22 00:00:00",3,1,0
MEZ0212010104,"2018-01-24 00:00:00",3,1,0
MEZ0212010104,"2018-01-31 00:00:00",3,1,0
MEZ0212010104,"2018-02-07 00:00:00",3,1,0
MEZ0212010104,"2018-02-13 00:00:00",3,1,0
MEZ0212010104,"2018-02-14 00:00:00",3,1,0
MEZ0212010104,"2018-02-15 00:00:00",3,2,0
MEZ0212010104,"2018-02-16 00:00:00",3,1,0
MEZ0212010104,"2018-02-22 00:00:00",3,3,0
MEZ0212010104,"2018-03-02 00:00:00",3,1,0
MEZ0212010104,"2018-03-06 00:00:00",3,1,0
MEZ0212010104,"2018-03-08 00:00:00",3,1,0
MEZ0212010104,"2018-03-26 00:00:00",3,1,0
MEZ0212010104,"2018-03-27 00:00:00",3,1,0
MEZ0212010104,"2018-04-16 00:00:00",3,1,0
MEZ0212010104,"2018-05-03 00:00:00",3,1,0
MEZ0212010104,"2018-05-10 00:00:00",3,1,0
MEZ0212010104,"2018-05-22 00:00:00",3,1,0
MEZ0212010104,"2018-06-05 00:00:00",3,1,0
MEZ0212010104,"2018-06-11 00:00:00",3,1,0
MEZ0212010104,"2018-06-12 00:00:00",3,1,0
MEZ0212010104,"2018-06-19 00:00:00",3,1,0
